
D  100	WGS 84
GPS 12   2.01 
T  N51 11.2472 W001 02.7547 Thu Aug 14 12:56:33 1997
T  N51 11.4304 W001 02.8023 Thu Aug 14 12:56:54 1997
T  N51 11.3180 W001 03.2343 Thu Aug 14 12:57:14 1997
T  N51 11.3013 W001 03.7370 Thu Aug 14 12:57:34 1997
T  N51 11.2839 W001 04.2320 Thu Aug 14 12:57:55 1997
T  N51 11.1137 W001 04.6804 Thu Aug 14 12:58:15 1997
T  N51 10.8314 W001 05.0528 Thu Aug 14 12:58:36 1997
T  N51 10.6315 W001 05.4545 Thu Aug 14 12:58:56 1997
T  N51 10.4622 W001 05.9067 Thu Aug 14 12:59:17 1997
T  N51 10.2247 W001 06.2122 Thu Aug 14 12:59:37 1997
T  N51 10.2092 W001 06.6776 Thu Aug 14 12:59:58 1997
T  N51 10.3756 W001 07.0236 Thu Aug 14 13:00:18 1997
T  N51 10.6421 W001 07.1217 Thu Aug 14 13:00:39 1997
T  N51 10.9691 W001 07.0242 Thu Aug 14 13:00:59 1997
T  N51 10.8439 W001 07.1938 Thu Aug 14 13:01:20 1997
T  N51 10.5469 W001 06.8762 Thu Aug 14 13:01:41 1997
T  N51 10.7387 W001 06.8192 Thu Aug 14 13:02:01 1997
T  N51 10.4754 W001 06.8240 Thu Aug 14 13:02:22 1997
T  N51 10.6428 W001 06.3068 Thu Aug 14 13:02:43 1997
T  N51 10.9022 W001 06.0461 Thu Aug 14 13:03:03 1997
T  N51 11.2385 W001 06.1166 Thu Aug 14 13:03:24 1997
T  N51 11.0712 W001 06.1198 Thu Aug 14 13:03:45 1997
T  N51 10.9643 W001 05.6305 Thu Aug 14 13:04:05 1997
T  N51 10.5819 W001 05.4410 Thu Aug 14 13:04:26 1997
T  N51 10.2585 W001 05.3621 Thu Aug 14 13:04:46 1997
T  N51 10.4731 W001 05.1365 Thu Aug 14 13:05:07 1997
T  N51 10.3386 W001 05.0734 Thu Aug 14 13:05:27 1997
T  N51 10.5404 W001 05.0966 Thu Aug 14 13:05:47 1997
T  N51 10.2356 W001 04.9669 Thu Aug 14 13:06:08 1997
T  N51 09.8816 W001 04.9649 Thu Aug 14 13:06:29 1997
T  N51 09.5768 W001 05.0036 Thu Aug 14 13:06:49 1997
T  N51 09.6427 W001 04.6151 Thu Aug 14 13:07:09 1997
T  N51 09.6958 W001 04.9495 Thu Aug 14 13:07:30 1997
T  N51 09.4805 W001 04.7921 Thu Aug 14 13:07:50 1997
T  N51 09.7129 W001 04.7985 Thu Aug 14 13:08:11 1997
T  N51 09.4039 W001 04.9630 Thu Aug 14 13:08:32 1997
T  N51 09.1113 W001 05.1458 Thu Aug 14 13:08:52 1997
T  N51 08.9395 W001 05.4928 Thu Aug 14 13:09:12 1997
T  N51 08.7451 W001 05.3566 Thu Aug 14 13:09:32 1997
T  N51 08.9984 W001 05.2128 Thu Aug 14 13:09:53 1997
T  N51 08.9652 W001 05.6785 Thu Aug 14 13:10:14 1997
T  N51 08.9765 W001 06.1336 Thu Aug 14 13:10:34 1997
T  N51 08.8040 W001 06.4822 Thu Aug 14 13:10:54 1997
T  N51 08.5526 W001 06.7577 Thu Aug 14 13:11:15 1997
T  N51 08.5661 W001 06.2447 Thu Aug 14 13:11:36 1997
T  N51 08.7277 W001 05.7812 Thu Aug 14 13:11:56 1997
T  N51 08.6128 W001 06.0242 Thu Aug 14 13:12:17 1997
T  N51 08.5909 W001 05.4761 Thu Aug 14 13:12:38 1997
T  N51 08.7821 W001 04.8574 Thu Aug 14 13:12:58 1997
T  N51 09.0383 W001 04.4442 Thu Aug 14 13:13:19 1997
T  N51 08.9436 W001 04.4947 Thu Aug 14 13:13:40 1997
T  N51 09.0482 W001 04.4792 Thu Aug 14 13:14:01 1997
T  N51 09.1165 W001 04.3264 Thu Aug 14 13:14:21 1997
T  N51 09.0618 W001 04.1628 Thu Aug 14 13:14:42 1997
T  N51 08.9996 W001 04.2749 Thu Aug 14 13:15:03 1997
T  N51 09.0447 W001 04.3009 Thu Aug 14 13:15:24 1997
T  N51 09.0923 W001 04.1822 Thu Aug 14 13:15:45 1997
T  N51 09.0215 W001 04.0219 Thu Aug 14 13:16:05 1997
T  N51 08.9098 W001 04.0196 Thu Aug 14 13:16:26 1997
T  N51 08.9301 W001 04.1204 Thu Aug 14 13:16:46 1997
T  N51 08.9935 W001 03.7541 Thu Aug 14 13:17:07 1997
T  N51 09.2851 W001 03.8223 Thu Aug 14 13:17:27 1997
T  N51 09.0756 W001 03.7789 Thu Aug 14 13:17:47 1997
T  N51 09.2227 W001 03.2639 Thu Aug 14 13:18:08 1997
T  N51 09.4647 W001 02.7013 Thu Aug 14 13:18:29 1997
T  N51 09.6469 W001 02.0833 Thu Aug 14 13:18:50 1997
T  N51 09.8561 W001 01.5155 Thu Aug 14 13:19:11 1997
T  N51 10.1494 W001 01.3623 Thu Aug 14 13:19:32 1997
T  N51 10.4406 W001 01.6105 Thu Aug 14 13:19:53 1997
T  N51 10.3727 W001 01.8499 Thu Aug 14 13:20:13 1997
T  N51 10.5234 W001 01.7163 Thu Aug 14 13:20:34 1997
T  N51 10.4657 W001 01.5680 Thu Aug 14 13:20:54 1997
T  N51 10.4078 W001 01.6446 Thu Aug 14 13:21:15 1997
T  N51 10.5520 W001 01.6716 Thu Aug 14 13:21:36 1997
T  N51 10.4065 W001 01.3353 Thu Aug 14 13:21:57 1997
T  N51 10.4838 W001 01.4743 Thu Aug 14 13:22:17 1997
T  N51 10.5330 W001 01.1547 Thu Aug 14 13:22:37 1997
T  N51 10.4255 W001 01.3153 Thu Aug 14 13:22:58 1997
T  N51 10.5697 W001 01.0465 Thu Aug 14 13:23:19 1997
T  N51 10.3879 W001 01.0977 Thu Aug 14 13:23:39 1997
T  N51 10.5629 W001 01.0713 Thu Aug 14 13:23:59 1997
T  N51 10.4159 W001 00.8441 Thu Aug 14 13:24:20 1997
T  N51 10.6016 W001 00.8628 Thu Aug 14 13:24:40 1997
T  N51 10.3821 W001 00.6960 Thu Aug 14 13:25:00 1997
T  N51 10.4744 W001 00.8177 Thu Aug 14 13:25:21 1997
T  N51 10.4870 W001 00.4070 Thu Aug 14 13:25:42 1997
T  N51 10.8278 W001 00.1444 Thu Aug 14 13:26:03 1997
T  N51 11.1587 W000 59.8911 Thu Aug 14 13:26:24 1997
T  N51 11.5115 W001 00.0874 Thu Aug 14 13:26:44 1997
T  N51 11.7722 W001 00.4041 Thu Aug 14 13:27:04 1997
T  N51 12.1414 W001 00.7891 Thu Aug 14 13:27:25 1997
T  N51 12.5209 W001 01.1846 Thu Aug 14 13:27:45 1997
T  N51 12.7368 W001 01.6626 Thu Aug 14 13:28:05 1997
T  N51 12.9287 W001 02.1602 Thu Aug 14 13:28:26 1997
T  N51 13.1691 W001 02.7540 Thu Aug 14 13:28:47 1997
T  N51 13.3995 W001 03.1744 Thu Aug 14 13:29:07 1997
T  N51 13.8353 W001 03.2162 Thu Aug 14 13:29:28 1997
